YEAR,PLAYER,POS,HGT,WGT,BMI,BF,WNGSPN,STNDRCH,HANDL,HANDW,STNDVERT,LPVERT,LANE,SHUTTLE,SPRINT,BENCH,BAR,PAN,PBHGT,PDHGT
2024,"Ajayi, Michael",SF,77.8,227.8,26.49,NA,84.80,106.5,9.50,9.80,27.0,34.5,12,3.17,3.21,NA,1.090,92.6,133.5,141.0
2024,"Ajinca, Melvin",SF,79.3,213.8,23.93,NA,79.50,106.5,8.50,9.80,26.5,31.0,12,3.00,3.38,NA,1.003,82.9,133.0,137.5
2024,"Alexander, Trey",SG,75.3,187.0,23.22,NA,82.50,101.5,9.00,10.00,27.0,32.0,11,3.00,3.00,NA,1.096,87.5,128.5,133.5
2024,"Almansa, Izan",C,81.3,219.6,23.39,NA,85.00,110.0,9.00,9.00,28.0,35.0,11,3.00,3.00,NA,1.046,85.6,138.0,145.0
2024,"Beekman, Reece",PG,73.3,196.4,25.73,NA,78.50,100.0,9.00,9.00,30.0,37.0,11,3.00,3.00,NA,1.072,76.5,130.0,137.0
2024,"Bona, Adem",C,80.3,243.2,26.55,NA,87.80,108.0,10.00,10.00,35.0,40.0,11,3.00,3.00,NA,1.093,95.0,143.0,148.0
2024,"Brazile, Trevon",PF,81.3,215.0,22.90,NA,87.80,108.5,9.00,10.00,33.0,41.0,11,3.00,3.00,NA,1.080,92.3,141.5,149.5
2024,"Bridges, Jalen",SF,78.8,213.4,24.19,NA,82.00,105.0,9.00,10.00,25.0,32.0,11,3.00,3.00,NA,1.041,90.0,130.0,137.0
2024,"Buzelis, Matas",SF,80.8,197.0,21.24,NA,82.00,105.5,9.00,9.00,31.0,38.0,11,3.00,3.00,NA,1.015,78.6,136.5,143.5
2024,"Carrington, Carlton",PG,75.8,194.8,23.87,NA,80.00,99.0,9.00,9.00,29.0,37.0,11.28,3.00,3.00,NA,1.056,78.6,128.0,136.0
2024,"Carter, Devin",SG,74.3,193.0,24.61,NA,80.80,98.0,9.00,9.00,35.0,42.0,10.63,3.00,3.00,NA,1.088,78.8,133.0,140.0
2024,"Castle, Stephon",SG,77.5,210.0,24.58,NA,81.00,102.0,9.00,9.00,29.0,37.0,10.93,3.00,3.00,NA,1.045,76.6,131.0,139.0
2024,"Chomche, Ulrich",C,82.3,232.4,24.15,NA,88.00,109.0,9.00,10.00,29.0,36.0,11.74,3.00,3.00,NA,1.070,94.8,138.0,145.0
2024,"Christie, Cam",SG,76.5,190.4,22.87,NA,80.00,101.5,8.00,8.00,33.0,36.0,11.07,3.00,3.00,NA,1.046,64.0,134.5,137.5
2024,"Clifford, Nique",SF,77,198.6,23.55,NA,80.00,102.0,8.00,9.00,30.0,37.0,10.95,3.00,3.00,NA,1.039,72.0,132.0,139.0
2024,"Clingan, Donovan",C,85.8,282.0,26.96,NA,90.80,115.0,10.00,10.00,26.0,29.0,12.06,3.00,3.00,NA,1.058,102.5,141.0,144.0
2024,"Collier, Isaiah",PG,74.5,204.6,25.91,NA,76.80,97.5,9.00,9.00,30.0,34.0,10.77,3.00,3.00,NA,1.030,76.5,127.5,131.5
2024,"Da Silva, Tristan",PF,80.3,216.8,23.67,NA,82.30,104.5,9.00,10.00,29.0,36.0,10.81,3.00,3.00,NA,1.025,85.5,133.5,140.5
2024,"Dadiet, Pacome",SF,79.8,216.8,23.96,NA,81.00,107.5,9.00,9.00,29.0,36.0,11.84,3.00,3.00,NA,1.016,76.5,136.5,143.5
2024,"Dante, N'Faly",C,82,260.2,27.20,NA,90.00,111.0,9.00,10.00,27.0,33.0,11.55,3.00,3.00,NA,1.098,92.5,138.0,144.0
2024,"Dillingham, Robert",PG,73,164.2,21.66,NA,75.00,95.0,8.00,8.00,NA,NA,NA,NA,NA,NA,1.027,66.0,NA,NA
2024,"Djurisic, Nikola",SF,79,208.8,23.52,NA,80.00,102.5,9.00,10.00,28.0,35.0,10.63,3.00,3.00,NA,1.013,85.0,130.5,137.5
2024,"Dunn, Ryan",PF,78.3,213.6,24.52,NA,85.50,103.0,9.00,10.00,32.0,39.0,10.99,3.00,3.00,NA,1.093,87.8,135.0,142.0
2024,"Edey, Zach",C,87.8,299.0,27.30,NA,94.80,115.0,10.00,11.00,26.0,32.0,11.19,3.00,3.00,NA,1.080,107.5,141.0,147.0
2024,"Edwards, Jesse",C,83.5,236.0,23.80,NA,89.00,111.0,9.00,10.00,31.0,36.0,11.24,3.00,3.00,NA,1.066,92.5,142.0,147.0
2024,"Edwards, Justin",SF,78,209.4,24.20,NA,82.00,102.5,9.00,9.00,28.0,33.0,12.07,3.00,3.00,NA,1.051,76.6,130.5,135.5
2024,"Ellis, Boogie",PG-SG,72.8,185.0,24.57,NA,79.00,98.0,9.00,10.00,32.0,40.0,11.98,3.00,3.00,NA,1.086,85.5,130.0,138.0
2024,"Filipowski, Kyle",PF,82.8,229.8,23.59,NA,82.50,107.0,9.00,10.00,27.0,33.0,11.43,3.00,3.00,NA,0.997,83.1,134.0,140.0
2024,"Flowers, Trentyn",SF,78.5,201.4,22.98,NA,80.30,100.5,9.00,10.00,35.0,42.0,11.01,3.00,3.00,NA,1.022,83.1,135.5,142.5
2024,"Freeman, Enrique",PF,79.3,212.0,23.73,NA,86.00,108.0,9.00,10.00,31.0,35.0,10.99,3.00,3.00,NA,1.085,87.5,139.0,143.0
2024,"Furphy, Johnny",SF,79.5,188.8,21.00,NA,80.00,104.5,8.00,10.00,26.0,32.0,11.15,3.00,3.00,NA,1.006,76.0,130.5,136.5
2024,"George, Kyshawn",SF,79,208.8,23.52,NA,82.30,105.0,9.00,10.30,27.0,32.0,11.90,2.91,3.32,NA,1.041,92.3,132.0,137.0
2024,"Grant-Foster, Tyon",SF,77.8,215.2,25.03,NA,83.80,104.0,8.75,9.30,NA,NA,NA,NA,NA,NA,1.077,80.9,NA,NA
2024,"Hall, PJ",C,80.3,239.6,26.15,NA,85.50,103.5,9.00,9.80,32.5,39.5,11.76,3.01,3.35,NA,1.065,87.8,136.0,143.0
2024,"Hawkins, Coleman",PF,80.3,215.2,23.49,NA,84.00,107.0,8.75,8.80,24.0,29.5,12.05,3.21,3.30,NA,1.047,76.6,131.0,136.5
